timestamp;AFz;AF3;AF4;AF7;AF8;Pz;P3;P4
1715069288812;-3562.234;-4117.154;-3433.116;-3640.391;-3555.939;-1471.713;-1829.118;-1210.198
1715069288820;-3459.379;-4001.632;-3335.476;-3537.499;-3454.164;-1457.296;-1798.123;-1209.229
1715069288828;-3405.66;-3934.242;-3286.973;-3480.65;-3401.153;-1407.936;-1741.35;-1157.112
1715069288836;-3340.729;-3853.217;-3224.052;-3412.217;-3338.456;-1412.556;-1735.65;-1174.025
1715069288844;-3231.801;-3734.343;-3117.807;-3301.911;-3228.672;-1354.329;-1662.895;-1121.238
1715069288852;-3151.894;-3644.75;-3041.923;-3222.525;-3149.472;-1296.513;-1604.445;-1072.213
1715069288860;-3052.987;-3531.613;-2944.805;-3122.576;-3051.087;-1289.547;-1580.194;-1075.268
1715069288868;-3003.143;-3463.44;-2895.705;-3066.51;-2999.492;-1236.275;-1522.452;-1017.861
1715069288876;-2910.942;-3361.441;-2808.31;-2974.272;-2908.371;-1215.637;-1497.529;-1011.714
1715069288884;-2812.855;-3248.304;-2714.917;-2872.497;-2811.514;-1165.643;-1435.392;-960.901
1715069288892;-2754.107;-3176.592;-2659.187;-2814.755;-2753.772;-1123.995;-1395.196;-924.245
1715069288900;-2649.575;-3061.481;-2554.879;-2709.292;-2649.017;-1111.366;-1368.411;-924.692
1715069288908;-2595.074;-2995.804;-2503.469;-2651.699;-2593.547;-1058.094;-1309.887;-868.142
1715069288916;-2511.628;-2901.927;-2424.158;-2569.035;-2510.734;-1039.915;-1286.864;-867.136
1715069288924;-2424.084;-2801.009;-2340.339;-2480.596;-2422.146;-1013.055;-1244.843;-836.663
1715069288932;-2375.32;-2741.776;-2295.151;-2430.864;-2376.921;-979.006;-1209.192;-810.511
1715069288937;-2280.064;-2634.898;-2201.572;-2333.485;-2280.437;-967.905;-1184.083;-810.213
1715069288945;-2189.465;-2529.733;-2112.314;-2239.831;-2189.018;-878.423;-1087.561;-718.385
1715069288953;-2117.641;-2444.238;-2040.155;-2164.505;-2117.604;-871.234;-1077.875;-724.643
1715069288961;-2059.75;-2375.469;-1986.139;-2104.417;-2059.415;-856.929;-1053.624;-712.76
1715069288969;-1980.364;-2284.236;-1912.192;-2025.329;-1981.78;-801.831;-997.223;-663.698
1715069288977;-1872.07;-2163.835;-1805.946;-1916.96;-1874.79;-779.219;-961.311;-649.504
1715069288985;-1820.698;-2104.305;-1758.784;-1864.992;-1823.418;-731.796;-909.567;-598.766
1715069288993;-1743.771;-2014.898;-1685.061;-1788.251;-1748.614;-721.142;-887.625;-603.721
1715069289001;-1671.203;-1930.818;-1616.925;-1714.304;-1676.679;-693.724;-848.547;-573.136
1715069289009;-1617.707;-1868.121;-1565.553;-1660.995;-1622.774;-658.333;-819.378;-539.869
1715069289017;-1531.914;-1770.295;-1482.107;-1572.706;-1537.055;-658.818;-802.39;-548.847
1715069289025;-1464.598;-1690.835;-1418.553;-1501.329;-1469.664;-596.792;-726.618;-481.457
1715069289033;-1378.804;-1592.673;-1335.368;-1414.307;-1384.243;-574.514;-709.072;-480.264
1715069289041;-1311.079;-1513.921;-1269.095;-1343.898;-1315.474;-545.83;-670.254;-452.586
1715069289049;-1245.961;-1435.578;-1205.727;-1275.986;-1250.505;-496.395;-618.584;-400.767
1715069289057;-1162.812;-1341.85;-1125.298;-1192.354;-1168.177;-496.879;-606.589;-411.868
1715069289065;-1127.943;-1299.083;-1092.702;-1158.156;-1133.494;-464.059;-566.17;-374.913
1715069289073;-1059.771;-1222.901;-1027.361;-1088.567;-1067.519;-456.944;-554.509;-382.289
1715069289081;-973.679;-1126.006;-946;-1002.14;-981.167;-413.544;-498.593;-338.927
1715069289089;-888.146;-1026.988;-861.026;-913.925;-894.032;-340.082;-426.21;-270.195
1715069289097;-785.105;-916.31;-764.094;-812.821;-791.103;-329.614;-397.898;-271.313
1715069289105;-755.526;-877.865;-737.57;-779.517;-763.945;-294.782;-358.783;-231.825
1715069289113;-696.331;-806.004;-679.53;-717.789;-704.154;-296.57;-361.13;-246.279
1715069289121;-635.311;-730.827;-617.169;-654.161;-642.464;-278.205;-336.207;-220.537
1715069289142;-582.412;-667.423;-566.84;-600.778;-590.347;-235.587;-297.651;-183.918
1715069289150;-494.83;-572.689;-480.376;-511.967;-503.734;-230.297;-274.032;-186.861
1715069289158;-461.34;-526.682;-449.605;-475.943;-469.685;-180.751;-222.251;-135.675
1715069289166;-371.747;-429.153;-364.408;-387.356;-381.097;-159.964;-197.627;-128.187
1715069289174;-286.4;-335.015;-283.048;-302.978;-295.825;-123.754;-141.412;-90.487
1715069289182;-246.428;-284.351;-244.826;-262.596;-255.741;-87.842;-116.9;-59.12
1715069289190;-162.683;-188.835;-160.97;-174.269;-171.289;-84.266;-104.196;-63.33
1715069289198;-130.609;-147.559;-134.222;-142.045;-140.965;-48.801;-60.871;-23.73
1715069289206;-63.665;-71.675;-70.967;-75.363;-77.151;-33.192;-41.537;-23.097
1715069289214;1.304;4.135;-4.992;-6.966;-10.356;-8.643;-4.21;4.992
1715069289222;58.338;70.967;49.546;52.974;47.721;30.659;42.059;42.431
1715069289230;145.808;167.638;132.993;140.294;135.899;32.522;56.811;27.642
1715069289238;179;212.714;166.483;175.834;169.463;88.289;111.423;82.627
1715069289246;250.414;291.243;234.582;245.385;239.871;99.838;132.918;83.484
1715069289254;327.863;374.205;307.411;323.281;315.681;131.465;178.888;116.043
1715069289262;364.445;418.946;343.621;363.067;351.816;171.438;215.545;153.445
1715069289270;431.016;499.077;411.98;432.469;419.207;162.199;216.104;135.638
1715069289278;464.804;543.11;444.986;468.567;454.374;205.934;263.564;183.955
1715069289286;546.5;632.89;523.143;550.933;535.324;230.931;282.601;194.721
1715069289294;619.926;712.909;592.47;626.37;608.303;262.745;330.545;222.921
1715069289302;664.368;764.318;633.635;669.695;653.155;305.176;373.647;260.323
1715069289310;726.655;835.359;694.841;732.131;713.766;294.559;376.366;241.92
1715069289318;771.508;889.674;735.894;775.866;758.506;350.103;433.959;302.866
1715069289326;826.12;955.351;787.377;833.236;811.666;347.905;438.392;286.065
1715069289331;873.581;1012.459;836.7;884.533;860.058;352.822;449.494;299.811
1715069289339;914.298;1061.223;875.071;926.815;900.887;400.841;500.381;339.597
1715069289347;992.79;1148.209;950.918;1006.015;978.112;404.753;514.574;335.09
1715069289355;1026.466;1190.081;981.838;1041.889;1013.54;442.006;552.759;379.57
1715069289363;1085.55;1258.999;1040.66;1102.09;1072.623;446.364;558.011;372.604
1715069289371;1158.901;1339.689;1111.068;1175.664;1144.819;480.935;605.136;410.9
1715069289379;1199.394;1390.204;1150.37;1218.356;1186.84;520.796;648.312;443.123
1715069289387;1273.193;1471.601;1222.864;1294.427;1260.191;519.864;661.165;433.661
1715069289395;1305.267;1509.86;1251.25;1323.894;1290.962;561.215;703.633;481.121
1715069289403;1364.611;1576.282;1306.832;1382.232;1348.63;568.703;716.448;469.573
1715069289411;1422.875;1640.208;1360.625;1442.656;1405.701;592.247;750.46;495.203
1715069289419;1451.485;1677.871;1390.688;1474.321;1434.46;622.943;768.9;526.309
1715069289427;1515.932;1749.843;1454.912;1537.576;1499.839;615.716;775.009;510.402
1715069289435;1550.242;1792.684;1487.806;1572.296;1534.41;659.786;827.089;559.464
1715069289443;1617.409;1869.239;1555.122;1644.976;1602.247;675.023;841.208;558.533
1715069289451;1671.053;1928.993;1603.402;1699.403;1656.525;689.961;860.356;576.34
1715069289459;1699.887;1966.655;1630.858;1728.833;1685.396;730.343;894.628;616.908
1715069289467;1772.232;2048.872;1702.16;1801.737;1756.214;730.343;909.753;605.583
1715069289475;1824.759;2104.864;1748.353;1855.604;1807.585;787.228;975.43;669.584
1715069289483;1872.629;2159.625;1796.708;1904.294;1855.53;782.609;978.485;652.447
1715069289491;1908.28;2204.962;1832.992;1940.765;1890.995;781.529;983.253;657.737
1715069289499;1933.649;2240.315;1857.318;1967.14;1917.034;811.294;1012.31;681.616
1715069289507;2021.007;2334.453;1943.26;2054.051;2004.765;830.479;1043.119;685.938
1715069289515;2051.145;2368.912;1966.059;2084.375;2034.232;872.426;1088.865;734.925
1715069289511;2099.089;2424.456;2011.731;2133.138;2082.4;871.159;1094.192;724.085
1715069289519;2151.728;2487.115;2066.717;2189.39;2133.623;894.144;1127.608;749.491
1715069289527;2179.258;2518.594;2091.117;2216.287;2160.743;925.25;1149.215;778.437
1715069289535;2232.566;2577.528;2142.452;2268.329;2214.573;905.506;1136.251;753.924
1715069289543;2265.871;2618.395;2172.925;2302.341;2246.76;957.251;1193.509;809.431
1715069289551;2321.713;2682.135;2229.437;2361.35;2303.608;968.911;1212.396;802.018
1715069289559;2358.742;2724.715;2265.125;2398.826;2340.19;976.846;1228.34;816.286
1715069289567;2370.775;2747.104;2276.86;2411.827;2352.558;1002.438;1251.176;842.735
1715069289575;2428.554;2808.534;2333.298;2471.358;2409.332;998.937;1255.721;831.187
1715069289583;2474.859;2859.943;2375.208;2514.943;2455.339;1054.518;1314.022;891.313
1715069289591;2545.007;2938.472;2443.194;2584.234;2524.406;1064.911;1330.711;887.029
1715069289599;2591.685;2990.998;2485.29;2632.104;2570.413;1080.521;1355.074;902.414
1715069289607;2616.719;3024.6;2512.112;2660.975;2598.167;1109.093;1375.228;931.434
1715069289615;2655.089;3070.719;2552.681;2701.543;2635.233;1083.165;1358.874;896.975
1715069289623;2686.866;3109.053;2582.334;2733.506;2666.153;1129.098;1399.703;947.304
1715069289631;2744.868;3171.936;2637.282;2791.174;2724.305;1141.578;1418.144;947.49
1715069289639;2784.058;3216.788;2672.784;2829.991;2762.191;1158.044;1452.118;963.546
1715069289647;2795.123;3234.073;2684.183;2843.663;2775.006;1174.323;1457.371;984.52
1715069289655;2844.52;3289.171;2732.277;2893.955;2823.435;1160.391;1450.889;961.386
1715069289663;2896.525;3347.322;2782.047;2946.258;2875.999;1223.348;1519.062;1027.1
1715069289671;2946.146;3400.668;2828.688;2995.469;2922.975;1228.75;1526.996;1021.288
1715069289679;2969.839;3429.428;2851.263;3020.242;2946.593;1224.466;1535.043;1025.945
1715069289687;2979.45;3447.197;2861.023;3032.722;2956.39;1244.88;1552.478;1044.683
1715069289695;3028.549;3505.126;2909.712;3081.709;3005.564;1231.32;1547.262;1025.125
1715069289716;3063.157;3542.602;2943.948;3118.18;3040.023;1283.176;1602.694;1078.844
1715069289724;3113.113;3596.656;2991.483;3168.844;3091.581;1291.074;1614.504;1071.356
1715069289732;3149.696;3640.577;3025.979;3206.581;3127.195;1307.651;1632.124;1094.081
1715069289740;3166.534;3664.866;3043.488;3225.245;3142.543;1331.493;1649.41;1113.974
1715069289748;3215.559;3718.845;3088.303;3271.848;3192.09;1317.449;1648.217;1092.33
1715069289756;3237.091;3747.568;3108.457;3295.206;3214.739;1359.656;1692.809;1140.945
1715069289764;3295.317;3813.431;3169.365;3356.635;3273.189;1367.517;1698.323;1135.431
1715069289772;3341.325;3863.2;3214.143;3401.972;3316.812;1384.281;1727.939;1157.448
1715069289780;3352.612;3876.649;3225.468;3415.495;3328.547;1413.748;1748.204;1178.235
1715069289788;3391.467;3920.607;3262.348;3453.605;3367.253;1399.294;1739.748;1155.101
1715069289796;3414.936;3952.906;3282.428;3478.862;3392.51;1443.401;1791.79;1204.759
